Employment,ConvertedCompYearly,Country,DevType
Employed full-time,135000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",8472,Bangladesh,Mobile Developer
Employed part-time,25312,Poland,Mobile Developer
Employed full-time,47184,Guatemala,Mobile Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
"Independent contractor, freelancer, or self-employed",25944,Italy,Mobile Developer
Employed full-time,110000,United States of America,Fullstack Developer
Employed full-time,75000,United States of America,Fullstack Developer
Employed full-time,47648,Canada,Mobile Developer
Employed full-time,112080,South Africa,Mobile Developer
Employed full-time,200000,United States of America,Front-End Developer
Employed full-time,31128,Finland,Fullstack Developer
Employed full-time,96000,United States of America,Front-End Developer
Employed full-time,11532,Thailand,Developer_ desktop or enterprise applications
Employed part-time,6948,Denmark,Front-End Developer
Employed full-time,98000,United States of America,Fullstack Developer
Employed full-time,120000,United States of America,Front-End Developer
Employed full-time,17868,Brazil,Mobile Developer
Employed full-time,11676,Portugal,Academic researcher
Employed full-time,23352,Spain,Academic researcher
"Independent contractor, freelancer, or self-employed",1380,Brazil,Front-End Developer
Employed full-time,66305,Bulgaria,Back-End Developer
Employed full-time,140000,United States of America,Mobile Developer
Employed full-time,21708,Russian Federation,Front-End Developer
Employed full-time,3156,Nepal,Mobile Developer
Employed full-time,125000,United States of America,Back-End Developer
Employed full-time,4428,Hungary,Front-End Developer
Employed full-time,4000000,United States of America,Fullstack Developer
Employed full-time,16752,India,Front-End Developer
Employed full-time,90000,United States of America,Mobile Developer
Employed full-time,10548,Sri Lanka,Mobile Developer
Employed full-time,40000,United States of America,Mobile Developer
Employed full-time,972888,Netherlands,Front-End Developer
Employed full-time,34904,India,Engineer_ data
Employed full-time,275000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",50000,Mexico,Fullstack Developer
Employed full-time,150000,United States of America,Back-End Developer
Employed full-time,21408,Argentina,Mobile Developer
Employed full-time,105000,United States of America,Front-End Developer
Employed full-time,172803,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,75669,Austria,Front-End Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,51887,Germany,Fullstack Developer
Employed full-time,75631,Canada,Mobile Developer
Employed full-time,85000,United States of America,Mobile Developer
Employed full-time,200000,United States of America,Fullstack Developer
Employed full-time,37620,France,Fullstack Developer
Employed full-time,12924,Mexico,Front-End Developer
Employed full-time,30250,Canada,Mobile Developer
Employed full-time,43110,Canada,Mobile Developer
Employed part-time,28440,Mexico,Mobile Developer
Employed full-time,59454,Portugal,Fullstack Developer
Employed full-time,75669,Germany,Engineer_ data
"Independent contractor, freelancer, or self-employed",10000,Brazil,Front-End Developer
Employed full-time,59676,Austria,Mobile Developer
Employed full-time,130000,United States of America,Front-End Developer
Employed full-time,105000,United States of America,Fullstack Developer
Employed full-time,3684,India,Front-End Developer
Employed full-time,15180,Colombia,Fullstack Developer
Employed full-time,90000,United States of America,Mobile Developer
Employed full-time,15564,Serbia,Mobile Developer
Employed full-time,146000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,350000,United States of America,Mobile Developer
Employed full-time,210000,United States of America,Product Manager
Employed full-time,90000,United States of America,Fullstack Developer
Employed full-time,35028,Portugal,Back-End Developer
Employed full-time,54049,Belgium,Front-End Developer
Employed full-time,58373,Germany,Back-End Developer
Employed full-time,41077,Spain,Mobile Developer
Employed full-time,13740,Brazil,Back-End Developer
Employed full-time,80556,Israel,Mobile Developer
Employed full-time,20000000,India,Developer_ desktop or enterprise applications
Employed full-time,4188,United Republic of Tanzania,Mobile Developer
Employed full-time,142000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",194580,Belgium,Mobile Developer
"Independent contractor, freelancer, or self-employed",7452,Cuba,Fullstack Developer
Employed full-time,75240,Austria,Front-End Developer
Employed full-time,108098,France,Developer_ desktop or enterprise applications
Employed full-time,54289,United Kingdom of Great Britain and Northern Ireland,Data Scientist
Employed full-time,48288,Germany,Mobile Developer
Employed full-time,222000,United States of America,Fullstack Developer
Employed full-time,35736,Brazil,Fullstack Developer
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,418848,India,Data Scientist
Employed full-time,115500,United States of America,Engineer_ data
Employed full-time,38484,Hungary,Back-End Developer
Employed full-time,57156,Czech Republic,Engineering manager
Employed full-time,16488,Brazil,Fullstack Developer
"Independent contractor, freelancer, or self-employed",28308,Russian Federation,Fullstack Developer
Employed full-time,16493,Brazil,Developer_ desktop or enterprise applications
Employed full-time,16754,India,Front-End Developer
Employed full-time,72408,Sweden,Front-End Developer
Employed full-time,31140,Argentina,Front-End Developer
Employed full-time,70000,United States of America,Back-End Developer
Employed full-time,125000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,225000,United States of America,Back-End Developer
Employed full-time,235000,United States of America,Front-End Developer
Employed full-time,79843,Norway,Developer_ desktop or enterprise applications
Employed full-time,46945,Sweden,Front-End Developer
Employed full-time,84000,United States of America,Front-End Developer
Employed full-time,130000,United States of America,Fullstack Developer
Employed full-time,170000,United States of America,Mobile Developer
"Independent contractor, freelancer, or self-employed",29186,Spain,Front-End Developer
Employed full-time,24132,Argentina,Mobile Developer
Employed part-time,3348,India,Fullstack Developer
Employed part-time,13620,Argentina,Mobile Developer
Employed full-time,216196,France,Academic researcher
Employed full-time,5064,Guinea,Fullstack Developer
Employed full-time,20943,India,Fullstack Developer
Employed full-time,93932,Bulgaria,Front-End Developer
Employed full-time,45379,Canada,Fullstack Developer
"Independent contractor, freelancer, or self-employed",7788,Pakistan,Developer_ desktop or enterprise applications
Employed full-time,127000,United States of America,Mobile Developer
Employed full-time,194526,United States of America,Engineer_ data
Employed full-time,120000,United States of America,Front-End Developer
Employed full-time,16224,Brazil,Front-End Developer
Employed full-time,64859,Netherlands,Fullstack Developer
Employed full-time,95000,United States of America,Engineer_ data
Employed full-time,38916,Belgium,Fullstack Developer
Employed full-time,46482,Spain,Engineering manager
Employed full-time,59454,Finland,Mobile Developer
Employed full-time,99500,United States of America,Fullstack Developer
Employed full-time,5496,Brazil,Front-End Developer
Employed full-time,15960,Peru,Front-End Developer
Employed full-time,27096,Chile,Mobile Developer
Employed full-time,102102,Canada,Back-End Developer
"Independent contractor, freelancer, or self-employed",12000,The former Yugoslav Republic of Macedonia,Fullstack Developer
Employed full-time,9996,France,Front-End Developer
Employed full-time,50760,Costa Rica,Front-End Developer
"Independent contractor, freelancer, or self-employed",64860,France,Front-End Developer
Employed full-time,95000,United States of America,Fullstack Developer
Employed full-time,200000,United States of America,Back-End Developer
Employed full-time,59454,Portugal,Mobile Developer
Employed full-time,7884,Turkey,Mobile Developer
Employed full-time,67021,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",19236,Brazil,Back-End Developer
Employed full-time,128573,Canada,Fullstack Developer
Employed full-time,63000,United States of America,Fullstack Developer
Employed full-time,1008228,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,32568,Romania,Front-End Developer
"Independent contractor, freelancer, or self-employed",78912,Germany,Front-End Developer
Employed full-time,19668,Guatemala,Mobile Developer
Employed full-time,26388,Brazil,Developer_ desktop or enterprise applications
Employed full-time,2160000,United States of America,Front-End Developer
Employed full-time,42960,Sweden,Back-End Developer
Employed full-time,90000,United States of America,Back-End Developer
Employed full-time,150000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",45564,Poland,Back-End Developer
Employed full-time,129000,United States of America,Fullstack Developer
Employed full-time,96000,Angola,Back-End Developer
Employed full-time,150000,United States of America,Front-End Developer
Employed full-time,75000,United States of America,Mobile Developer
Employed full-time,23664,Turkey,Fullstack Developer
Employed full-time,11304,Bangladesh,Front-End Developer
Employed full-time,7344,Peru,Mobile Developer
Employed full-time,19728,Turkey,Back-End Developer
"Independent contractor, freelancer, or self-employed",2448,Uganda,Mobile Developer
"Independent contractor, freelancer, or self-employed",58908,Sweden,Fullstack Developer
Employed full-time,10344,Mexico,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",77832,France,Front-End Developer
Employed full-time,190000,United States of America,Front-End Developer
Employed full-time,20000,Nigeria,Back-End Developer
Employed full-time,77832,Lithuania,Fullstack Developer
Employed full-time,130000,United States of America,Mobile Developer
Employed full-time,61200,United States of America,Fullstack Developer
Employed full-time,45379,Canada,Mobile Developer
Employed full-time,61261,Canada,Mobile Developer
Employed full-time,15564,Pakistan,Front-End Developer
Employed full-time,1872,India,Mobile Developer
Employed full-time,30000,Ecuador,Back-End Developer
"Independent contractor, freelancer, or self-employed",69276,Hungary,Front-End Developer
Employed full-time,69809,India,Mobile Developer
Employed full-time,92064,South Africa,Fullstack Developer
Employed full-time,35736,Brazil,Back-End Developer
Employed full-time,92270,Canada,Fullstack Developer
Employed full-time,262500,United States of America,Back-End Developer
Employed full-time,9480,Philippines,Fullstack Developer
Employed full-time,10471,India,Fullstack Developer
"Independent contractor, freelancer, or self-employed",31360,Chile,Mobile Developer
Employed full-time,31128,Ukraine,Fullstack Developer
"Independent contractor, freelancer, or self-employed",180000,Canada,Fullstack Developer
Employed full-time,45564,Poland,Mobile Developer
Employed full-time,54168,Russian Federation,Front-End Developer
Employed full-time,250000,United States of America,Mobile Developer
Employed full-time,16754,India,Mobile Developer
"Independent contractor, freelancer, or self-employed",9084,Morocco,Mobile Developer
Employed full-time,103000,United States of America,Front-End Developer
Employed full-time,27096,Chile,Fullstack Developer
Employed part-time,3876,Mexico,Mobile Developer
Employed full-time,16493,Brazil,Fullstack Developer
Employed full-time,2016,India,Fullstack Developer
Employed full-time,343603,Brazil,Front-End Developer
"Independent contractor, freelancer, or self-employed",59172,Turkey,Fullstack Developer
Employed full-time,76092,Sweden,Front-End Developer
Employed full-time,91883,Brazil,Mobile Developer
Employed full-time,305000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",100000,Libyan Arab Jamahiriya,Fullstack Developer
Employed full-time,15358,India,Fullstack Developer
Employed full-time,15252,Mexico,Front-End Developer
Employed full-time,52500,United States of America,Front-End Developer
Employed full-time,19068,Colombia,Back-End Developer
Employed full-time,34614,Mexico,Back-End Developer
Employed full-time,65043,Canada,Front-End Developer
Employed full-time,22536,Brazil,Front-End Developer
Employed full-time,124000,United States of America,Data Scientist
Employed part-time,10056,India,Fullstack Developer
Employed full-time,172000,United States of America,Fullstack Developer
Employed full-time,56211,Austria,Back-End Developer
Employed full-time,110000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",41880,India,Mobile Developer
Employed full-time,98321,Canada,Developer_ desktop or enterprise applications
Employed full-time,11832,Turkey,Fullstack Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,83194,Canada,Mobile Developer
Employed full-time,150000,United States of America,Mobile Developer
Employed full-time,19332,Kosovo,Front-End Developer
Employed full-time,10344,Mexico,Engineer_ data
Employed full-time,110000,United States of America,Fullstack Developer
Employed full-time,174000,United States of America,Fullstack Developer
Employed full-time,64287,Canada,Fullstack Developer
Employed full-time,3852,Brazil,Fullstack Developer
Employed full-time,180000,United States of America,Back-End Developer
Employed full-time,118000,United States of America,Fullstack Developer
Employed full-time,16752,India,Fullstack Developer
Employed full-time,143500,United States of America,Fullstack Developer
Employed full-time,89446,New Zealand,Mobile Developer
Employed full-time,54049,Germany,Fullstack Developer
"Independent contractor, freelancer, or self-employed",59454,Italy,Mobile Developer
"Independent contractor, freelancer, or self-employed",151263,Canada,Front-End Developer
Employed full-time,15324,Croatia,Mobile Developer
"Independent contractor, freelancer, or self-employed",4150,Honduras,Mobile Developer
Employed full-time,60535,Austria,Back-End Developer
Employed full-time,26400,"Venezuela, Bolivarian Republic of...",Mobile Developer
Employed full-time,123000,United States of America,Mobile Developer
Employed full-time,68102,Austria,Back-End Developer
Employed full-time,28344,Morocco,Front-End Developer
Employed full-time,16800,Mexico,Front-End Developer
Employed full-time,7200,Zimbabwe,Front-End Developer
Employed full-time,105000,United States of America,Fullstack Developer
Employed full-time,115000,United States of America,Fullstack Developer
Employed full-time,46000,United States of America,Fullstack Developer
Employed full-time,71340,Netherlands,Front-End Developer
Employed full-time,10896,India,Front-End Developer
Employed part-time,19452,Austria,Front-End Developer
Employed part-time,73188,Switzerland,Fullstack Developer
Employed full-time,36984,Argentina,Front-End Developer
Employed full-time,32424,Greece,Front-End Developer
Employed full-time,24863,Spain,Fullstack Developer
Employed full-time,220000,United States of America,Back-End Developer
Employed full-time,36193,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,120000,United States of America,Data Scientist
Employed full-time,84019,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
"Independent contractor, freelancer, or self-employed",9600,Saudi Arabia,Mobile Developer
Employed full-time,108098,France,Front-End Developer
Employed full-time,38916,Germany,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",64860,Greece,Front-End Developer
Employed full-time,51887,Spain,Fullstack Developer
Employed full-time,107593,India,Mobile Developer
Employed full-time,583728,Italy,Developer_ desktop or enterprise applications
Employed full-time,15120,Brazil,System administrator
Employed full-time,27492,Brazil,Front-End Developer
"Independent contractor, freelancer, or self-employed",2400,India,Front-End Developer
"Independent contractor, freelancer, or self-employed",25128,India,Fullstack Developer
Employed full-time,225000,United States of America,Back-End Developer
Employed full-time,24756,Brazil,Fullstack Developer
"Independent contractor, freelancer, or self-employed",135000,Sweden,Fullstack Developer
Employed full-time,180000,United States of America,Mobile Developer
"Independent contractor, freelancer, or self-employed",21996,Brazil,Back-End Developer
Employed full-time,46482,Germany,Fullstack Developer
Employed full-time,90482,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,82080,United Kingdom of Great Britain and Northern Ireland,Data Scientist
"Independent contractor, freelancer, or self-employed",194577,Germany,Mobile Developer
Employed full-time,71256,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,19200,United States of America,Fullstack Developer
Employed full-time,162147,Netherlands,Fullstack Developer
Employed full-time,91883,Germany,Mobile Developer
Employed full-time,225000,United States of America,Developer_ embedded applications or devices
Employed full-time,65746,Turkey,Back-End Developer
Employed full-time,11640,Mexico,Fullstack Developer
Employed full-time,90000,United States of America,Fullstack Developer
Employed full-time,37834,Latvia,Mobile Developer
Employed full-time,95000,United States of America,Fullstack Developer
Employed full-time,39674,United Kingdom of Great Britain and Northern Ireland,Developer_ embedded applications or devices
Employed full-time,15672,Brazil,Mobile Developer
Employed full-time,2520000,United States of America,Back-End Developer
Employed full-time,40975,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,59454,Germany,Fullstack Developer
Employed full-time,29364,Ukraine,Fullstack Developer
Employed full-time,10932,Poland,Mobile Developer
"Independent contractor, freelancer, or self-employed",9540,Colombia,Mobile Developer
Employed full-time,39456,Spain,Front-End Developer
Employed full-time,1440000,United States of America,Fullstack Developer
Employed full-time,103408,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,7512,Tunisia,Mobile Developer
Employed full-time,215000,United States of America,Database administrator
Employed full-time,21540,Egypt,Front-End Developer
Employed full-time,78900,Turkey,Back-End Developer
Employed part-time,9108,Poland,Mobile Developer
"Independent contractor, freelancer, or self-employed",17500,Republic of Moldova,Mobile Developer
Employed full-time,91000,United States of America,Fullstack Developer
Employed full-time,45000,Argentina,Fullstack Developer
Employed full-time,255700,Sweden,Front-End Developer
Employed full-time,285000,United States of America,Front-End Developer
Employed full-time,21996,Brazil,Mobile Developer
Employed full-time,73507,Germany,DevOps specialist
Employed full-time,48936,Ukraine,Front-End Developer
Employed full-time,230000,United States of America,Back-End Developer
Employed full-time,92000,United States of America,Fullstack Developer
Employed full-time,170000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,60000,United States of America,Fullstack Developer
Employed full-time,95000,United States of America,Front-End Developer
Employed full-time,113447,Canada,Mobile Developer
Employed full-time,254196,United States of America,Back-End Developer
"Independent contractor, freelancer, or self-employed",25000,"Venezuela, Bolivarian Republic of...",Mobile Developer
"Independent contractor, freelancer, or self-employed",98616,Turkey,Mobile Developer
Employed full-time,270000,United States of America,Fullstack Developer
Employed full-time,10596,Colombia,Back-End Developer
Employed full-time,108000,United States of America,Mobile Developer
Employed full-time,58368,Slovenia,Mobile Developer
Employed full-time,78848,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,86316,Norway,Fullstack Developer
Employed full-time,90758,Canada,Data Scientist
Employed full-time,59454,France,Product Manager
Employed part-time,81319,Switzerland,Fullstack Developer
Employed full-time,68068,Canada,Front-End Developer
Employed full-time,62352,Czech Republic,Mobile Developer
Employed full-time,102102,Canada,DevOps specialist
Employed full-time,29196,Argentina,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",193000,United States of America,Mobile Developer
Employed full-time,85000,United States of America,Fullstack Developer
Employed full-time,9787,Ukraine,Mobile Developer
Employed full-time,121010,Canada,Product Manager
"Independent contractor, freelancer, or self-employed",32316,Mexico,Mobile Developer
Employed full-time,225000,United States of America,Data Scientist
Employed full-time,5904,Brazil,DevOps specialist
Employed full-time,8376,India,Fullstack Developer
Employed full-time,24000,United States of America,Mobile Developer
Employed full-time,73944,France,Mobile Developer
Employed full-time,84316,Germany,Back-End Developer
"Independent contractor, freelancer, or self-employed",400000,United States of America,Mobile Developer
Employed full-time,124800,United States of America,Fullstack Developer
Employed full-time,105000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",140088,Israel,Front-End Developer
Employed full-time,150000,United States of America,Fullstack Developer
Employed full-time,120000,United States of America,Fullstack Developer
Employed full-time,70000,United States of America,Fullstack Developer
Employed full-time,115000,United States of America,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",80059,South Africa,Mobile Developer
Employed full-time,56723,Canada,Fullstack Developer
Employed full-time,145000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",100000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",13800,Argentina,Mobile Developer
Employed full-time,64859,Austria,Mobile Developer
Employed full-time,21996,Brazil,Engineer_ data
Employed full-time,84707,Canada,Back-End Developer
Employed full-time,21996,Brazil,Back-End Developer
Employed full-time,90000,United States of America,Back-End Developer
Employed full-time,50316,Sweden,Fullstack Developer
Employed full-time,85380,Switzerland,Product Manager
Employed part-time,25944,Turkey,Front-End Developer
Employed full-time,41880,India,Front-End Developer
Employed full-time,404681,United States of America,Mobile Developer
Employed full-time,44000,United States of America,Fullstack Developer
Employed full-time,23460,India,Mobile Developer
Employed full-time,16884,Ethiopia,Mobile Developer
Employed full-time,25860,Mexico,Fullstack Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,6150000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",16488,Brazil,Mobile Developer
"Independent contractor, freelancer, or self-employed",55224,Sweden,Developer_ desktop or enterprise applications
Employed full-time,59454,France,Fullstack Developer
Employed full-time,1270608,Canada,Fullstack Developer
Employed full-time,57480,Canada,Developer_ desktop or enterprise applications
"Independent contractor, freelancer, or self-employed",102200,Mexico,Data Analyst
Employed full-time,114000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,105000,United States of America,Fullstack Developer
Employed full-time,97288,Germany,Fullstack Developer
Employed full-time,102000,United States of America,Fullstack Developer
Employed full-time,103408,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,48000,Belarus,Mobile Developer
Employed full-time,180000,United States of America,Mobile Developer
Employed part-time,34200,Brazil,Front-End Developer
Employed full-time,167500,United States of America,Back-End Developer
Employed full-time,46728,Brazil,Data Scientist
Employed full-time,150000,United States of America,Engineer_ data
Employed full-time,25933,South Africa,Mobile Developer
"Independent contractor, freelancer, or self-employed",178350,Belgium,Fullstack Developer
Employed full-time,18000,Mexico,Developer_ desktop or enterprise applications
Employed full-time,118908,Germany,DevOps specialist
Employed full-time,42000,Colombia,Fullstack Developer
Employed full-time,38916,Germany,Back-End Developer
Employed full-time,9075,India,Front-End Developer
Employed full-time,15396,Brazil,Mobile Developer
Employed full-time,43239,Spain,Fullstack Developer
Employed full-time,36324,Portugal,Developer_ desktop or enterprise applications
Employed full-time,47988,Saudi Arabia,Fullstack Developer
"Independent contractor, freelancer, or self-employed",173676,Denmark,Fullstack Developer
"Independent contractor, freelancer, or self-employed",12924,Mexico,Front-End Developer
Employed part-time,6468,Mexico,Mobile Developer
Employed full-time,15888,Colombia,Back-End Developer
Employed full-time,103000,United States of America,Front-End Developer
Employed full-time,220000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",270245,Germany,Back-End Developer
Employed full-time,280000,United States of America,Fullstack Developer
Employed full-time,35028,Argentina,Fullstack Developer
Employed full-time,60000,Ukraine,Front-End Developer
Employed full-time,125000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",1700000,United States of America,Front-End Developer
Employed full-time,137000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,100000,United States of America,Front-End Developer
Employed full-time,68824,Canada,Front-End Developer
Employed full-time,138000,United States of America,Back-End Developer
Employed full-time,51708,Mexico,Front-End Developer
Employed full-time,94539,Canada,Fullstack Developer
Employed full-time,227640,Israel,Front-End Developer
"Independent contractor, freelancer, or self-employed",38916,Netherlands,Fullstack Developer
Employed full-time,17652,Colombia,Developer_ desktop or enterprise applications
Employed full-time,47040,Argentina,Front-End Developer
Employed full-time,33508,India,Back-End Developer
Employed full-time,41592,Jordan,Fullstack Developer
Employed full-time,66084,Serbia,Front-End Developer
Employed full-time,110000,United States of America,Back-End Developer
Employed full-time,62040,Argentina,Front-End Developer
Employed full-time,491603,Canada,Fullstack Developer
Employed full-time,853848,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,45401,Germany,Fullstack Developer
Employed full-time,150000,United States of America,Engineer_ data
Employed full-time,60000,United States of America,Academic researcher
Employed full-time,105000,United States of America,Back-End Developer
Employed full-time,648588,Italy,Data Scientist
"Independent contractor, freelancer, or self-employed",29088,Mexico,Fullstack Developer
Employed full-time,165000,United States of America,Fullstack Developer
Employed full-time,84048,Israel,Fullstack Developer
Employed part-time,64859,Netherlands,Back-End Developer
Employed full-time,44203,Bulgaria,Fullstack Developer
Employed full-time,42000,Poland,Front-End Developer
Employed full-time,12372,Brazil,Front-End Developer
Employed full-time,115000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",25656,"Iran, Islamic Republic of...",Fullstack Developer
Employed full-time,70000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,10992,Brazil,Data Scientist
Employed full-time,72408,Sweden,Mobile Developer
Employed full-time,82000,United States of America,Mobile Developer
Employed full-time,75669,Ireland,Developer_ desktop or enterprise applications
Employed full-time,130000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",156000,Panama,Fullstack Developer
Employed full-time,57292,France,Developer_ desktop or enterprise applications
Employed full-time,66072,Switzerland,Fullstack Developer
Employed full-time,115000,United States of America,Fullstack Developer
Employed full-time,99450,Germany,Engineer_ data
"Independent contractor, freelancer, or self-employed",59454,France,Mobile Developer
"Independent contractor, freelancer, or self-employed",42564,Peru,Developer_ desktop or enterprise applications
Employed full-time,68507,United Kingdom of Great Britain and Northern Ireland,Developer_ desktop or enterprise applications
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,42144,Chile,Fullstack Developer
Employed full-time,54000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",200000,United States of America,Mobile Developer
Employed part-time,1236,Peru,Front-End Developer
Employed full-time,48000,Uganda,Fullstack Developer
Employed part-time,15564,Germany,Mobile Developer
Employed full-time,251311,India,Developer_ embedded applications or devices
Employed full-time,81074,France,Data Scientist
Employed full-time,16860,Italy,Back-End Developer
"Independent contractor, freelancer, or self-employed",347352,Denmark,Developer_ desktop or enterprise applications
Employed full-time,240000,United States of America,Fullstack Developer
Employed full-time,34428,Singapore,Mobile Developer
Employed full-time,95520,Denmark,Mobile Developer
Employed full-time,79993,Germany,Mobile Developer
Employed full-time,81074,Germany,Fullstack Developer
Employed full-time,140000,United States of America,Front-End Developer
Employed full-time,180000,United States of America,Mobile Developer
Employed full-time,99530,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,70264,Germany,Back-End Developer
Employed full-time,49728,Bulgaria,Fullstack Developer
Employed full-time,94539,Canada,Developer_ desktop or enterprise applications
Employed full-time,29186,Spain,Front-End Developer
Employed full-time,7524,Armenia,Front-End Developer
Employed full-time,67452,Estonia,Front-End Developer
Employed full-time,23639,Portugal,Developer_ desktop or enterprise applications
Employed full-time,6468,Mexico,Mobile Developer
"Independent contractor, freelancer, or self-employed",90804,Spain,Front-End Developer
Employed full-time,73362,Canada,Fullstack Developer
Employed full-time,54480,Finland,Fullstack Developer
Employed full-time,28404,Democratic Republic of the Congo,Mobile Developer
"Independent contractor, freelancer, or self-employed",30000,Kenya,Front-End Developer
Employed full-time,100000,United States of America,Fullstack Developer
Employed full-time,13962,India,Mobile Developer
Employed full-time,121500,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",27252,Argentina,Mobile Developer
Employed full-time,71093,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,76166,France,Back-End Developer
Employed full-time,15358,India,Mobile Developer
Employed full-time,245000,United States of America,Back-End Developer
Employed full-time,140000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,45000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,18228,Poland,Front-End Developer
Employed full-time,93000,United States of America,Fullstack Developer
Employed full-time,14568,Spain,Mobile Developer
Employed full-time,160000,United States of America,Fullstack Developer
Employed full-time,32988,Brazil,Fullstack Developer
Employed full-time,50395,Brazil,DevOps specialist
"Independent contractor, freelancer, or self-employed",29580,Turkey,Senior Executive (C-Suite_ VP_ etc.)
Employed full-time,97288,France,Developer_ desktop or enterprise applications
Employed full-time,74827,Australia,Mobile Developer
Employed full-time,16164,Dominican Republic,Mobile Developer
Employed full-time,36252,Uruguay,Mobile Developer
Employed full-time,62500,United States of America,Mobile Developer
"Independent contractor, freelancer, or self-employed",11040,Turkey,Mobile Developer
Employed part-time,4620,Egypt,Mobile Developer
Employed full-time,23388,Czech Republic,Mobile Developer
Employed full-time,73473,New Zealand,Front-End Developer
Employed full-time,124792,Canada,Back-End Developer
Employed full-time,70000,Ecuador,Mobile Developer
Employed full-time,51636,Poland,Fullstack Developer
Employed full-time,21192,Colombia,Fullstack Developer
Employed full-time,10992,Brazil,Mobile Developer
Employed full-time,67332,Norway,Mobile Developer
Employed full-time,125000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",250000,United States of America,Mobile Developer
Employed full-time,57000,United States of America,Fullstack Developer
Employed full-time,7800,Panama,Fullstack Developer
Employed full-time,1260000,United States of America,Front-End Developer
Employed full-time,61261,Canada,Fullstack Developer
Employed full-time,193889,United Kingdom of Great Britain and Northern Ireland,Engineer_ data
Employed full-time,18850,Mexico,Academic researcher
Employed full-time,48936,Ukraine,Front-End Developer
Employed full-time,336000,El Salvador,Data Analyst
Employed part-time,24324,Argentina,Mobile Developer
"Independent contractor, freelancer, or self-employed",65000,United States of America,Front-End Developer
Employed full-time,80787,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,97583,Brazil,Front-End Developer
Employed full-time,91883,Greece,Mobile Developer
Employed full-time,115000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,10344,Mexico,Mobile Developer
Employed full-time,60000,United States of America,Fullstack Developer
Employed full-time,5208,Bolivia,Developer_ QA or test
Employed full-time,16015,Thailand,Fullstack Developer
Employed full-time,33780,Czech Republic,Back-End Developer
